"AssetID","AssetName","AssetCategory","AssetModel","AssetDescription","AssetLocation","AssetStatus","AssetAcquiredDate","AssetAcquiredDate","AssetOwner"
"1","Dell Monitor","SecurityEquipment","1250","Dell Monitor Description","Room101","UnAssigned","2023-12-12","2025-12-12"
"2","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"3","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"4","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"5","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"6","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"7","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"8","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"9","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"10","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"11","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"12","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"13","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"14","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"15","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"16","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"17","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"18","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"19","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"20","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"21","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"22","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"23","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"24","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"25","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"26","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"27","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"28","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"29","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"30","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
